file,age,gender,race,service_test,looks
normal_train/2.jpg,30-39,Female,Indian,False,0
normal_train/4.jpg,20-29,Female,Indian,True,0
normal_train/7.jpg,40-49,Male,Middle Eastern,False,0
normal_train/10.jpg,30-39,Male,Middle Eastern,False,0
normal_train/12.jpg,20-29,Male,East Asian,False,0
normal_train/16.jpg,30-39,Female,White,False,0
normal_train/17.jpg,20-29,Female,Southeast Asian,False,0
normal_train/18.jpg,40-49,Male,Southeast Asian,False,0
normal_train/19.jpg,0-2,Female,Black,False,0
normal_train/20.jpg,50-59,Male,Southeast Asian,True,0
normal_train/22.jpg,30-39,Female,Middle Eastern,True,0
normal_train/24.jpg,30-39,Female,White,False,0
normal_train/37.jpg,20-29,Female,Latino_Hispanic,False,0
normal_train/38.jpg,30-39,Male,Latino_Hispanic,True,0
normal_train/44.jpg,40-49,Male,Latino_Hispanic,False,0
normal_train/45.jpg,10-19,Male,Indian,True,0
normal_train/47.jpg,60-69,Male,East Asian,True,0
normal_train/48.jpg,3-9,Female,Middle Eastern,True,0
normal_train/49.jpg,10-19,Female,Southeast Asian,False,0
normal_train/51.jpg,3-9,Female,East Asian,False,0
normal_train/57.jpg,20-29,Male,Black,False,0
normal_train/62.jpg,10-19,Male,Indian,True,0
normal_train/63.jpg,40-49,Male,Indian,False,0
normal_train/64.jpg,20-29,Male,Southeast Asian,False,0
normal_train/67.jpg,10-19,Female,Latino_Hispanic,False,0
normal_train/70.jpg,30-39,Male,Indian,True,0
normal_train/74.jpg,20-29,Female,Southeast Asian,False,0
normal_train/76.jpg,20-29,Male,Southeast Asian,True,0
normal_train/79.jpg,40-49,Male,Latino_Hispanic,False,0
normal_train/85.jpg,20-29,Female,White,False,0
normal_train/89.jpg,40-49,Male,Indian,False,0
normal_train/90.jpg,50-59,Male,Indian,False,0
normal_train/95.jpg,20-29,Male,Black,False,0
normal_train/96.jpg,30-39,Female,White,True,0
normal_train/98.jpg,20-29,Female,East Asian,False,0
normal_train/101.jpg,30-39,Male,Indian,False,0
normal_train/104.jpg,30-39,Male,Indian,False,0
normal_train/111.jpg,40-49,Female,Indian,False,0
normal_train/113.jpg,30-39,Male,Middle Eastern,True,0
normal_train/116.jpg,20-29,Female,Latino_Hispanic,False,0
normal_train/126.jpg,30-39,Female,East Asian,False,0
normal_train/129.jpg,10-19,Female,Black,False,0
normal_train/141.jpg,10-19,Male,Latino_Hispanic,True,0
normal_train/142.jpg,30-39,Male,East Asian,False,0
normal_train/144.jpg,more than 70,Male,East Asian,False,0
normal_train/151.jpg,20-29,Female,Black,True,0
normal_train/157.jpg,20-29,Male,White,False,0
normal_train/158.jpg,3-9,Male,Black,False,0
normal_train/161.jpg,10-19,Female,Latino_Hispanic,True,0
normal_train/162.jpg,30-39,Female,White,False,0
normal_train/166.jpg,3-9,Male,East Asian,False,0
normal_train/167.jpg,30-39,Female,Latino_Hispanic,False,0
normal_train/180.jpg,30-39,Male,Middle Eastern,False,0
normal_train/181.jpg,20-29,Female,Latino_Hispanic,False,0
normal_train/184.jpg,20-29,Male,White,False,0
normal_train/186.jpg,50-59,Female,Southeast Asian,False,0
normal_train/189.jpg,3-9,Female,East Asian,False,0
normal_train/190.jpg,10-19,Male,East Asian,True,0
normal_train/191.jpg,20-29,Female,East Asian,True,0
normal_train/200.jpg,10-19,Male,Indian,True,0
normal_train/201.jpg,40-49,Female,Latino_Hispanic,True,0
normal_train/203.jpg,20-29,Male,White,True,0
normal_train/205.jpg,3-9,Female,Southeast Asian,True,0
normal_train/215.jpg,30-39,Female,Black,True,0
normal_train/217.jpg,40-49,Male,Indian,False,0
normal_train/218.jpg,30-39,Female,Middle Eastern,True,0
